    62
        0.00    0.000E+00
       11.00    0.000E+00
       11.00    1.588E-21    0.15876E-20
       12.00    2.410E-21    0.24099E-20
       13.00    3.019E-21    0.30186E-20
       14.00    3.512E-21    0.35119E-20
       14.50    3.728E-21    0.3728E-20
       15.00    3.926E-21    0.39256E-20
       15.60    4.245E-21    0.4245E-20
       16.00    4.279E-21    0.42786E-20
       17.00    4.583E-21    0.45828E-20
       18.00    4.847E-21    0.48468E-20
       19.00    5.077E-21    0.50768E-20
       20.00    5.278E-21    0.52779E-20
       21.00    5.454E-21    0.5454E-20
       22.00    5.608E-21    0.56084E-20
       23.00    5.744E-21    0.57439E-20
       24.00    5.863E-21    0.58627E-20
       26.00    6.058E-21    0.6058E-20
       28.00    6.207E-21    0.62069E-20
       30.00    6.319E-21    0.63189E-20
       32.00    6.401E-21    0.64013E-20
       34.00    6.460E-21    0.64597E-20
       36.00    6.499E-21    0.64986E-20
       38.00    6.522E-21    0.65216E-20
       40.00    6.532E-21    0.65315E-20
       45.00    6.513E-21    0.6513E-20
       50.00    6.452E-21    0.6452E-20
       55.00    6.365E-21    0.63647E-20
       60.00    6.262E-21    0.62615E-20
       65.00    6.149E-21    0.61489E-20
       70.00    6.032E-21    0.60315E-20
       75.00    5.912E-21    0.59121E-20
       80.00    5.793E-21    0.57929E-20
       85.00    5.675E-21    0.5675E-20
       90.00    5.559E-21    0.55593E-20
       95.00    5.447E-21    0.54465E-20
      100.00    5.337E-21    0.53369E-20
      110.00    5.128E-21    0.51276E-20
      120.00    4.932E-21    0.49322E-20
      130.00    4.750E-21    0.475E-20
      140.00    4.581E-21    0.45805E-20
      150.00    4.423E-21    0.44227E-20
      160.00    4.276E-21    0.42756E-20
      170.00    4.138E-21    0.41383E-20
      180.00    4.010E-21    0.401E-20
      190.00    3.890E-21    0.38898E-20
      200.00    3.777E-21    0.37771E-20
      250.00    3.305E-21    0.33045E-20
      300.00    2.945E-21    0.29445E-20
      350.00    2.661E-21    0.26607E-20
      400.00    2.431E-21    0.24309E-20
      450.00    2.241E-21    0.22408E-20
      500.00    2.081E-21    0.20807E-20
      600.00    1.825E-21    0.18254E-20
      700.00    1.630E-21    0.16303E-20
      800.00    1.476E-21    0.1476E-20
      900.00    1.351E-21    0.13505E-20
     1000.00    1.246E-21    0.12463E-20
     1500.00    9.094E-22    0.09094E-20
     2000.00    7.236E-22    0.07236E-20
     3000.00    5.214E-22    0.05214E-20

xxxxNNNNN.NNxxx+N.NNNe+NN

# excitation cross sections 1s->2p in atomic hydrogen (H+)
# format 4x,f8.2,3x,e10.3
# column # 1 - primary electron energy [eV]
# column # 2 - cross-section, rounded [m^2]
# column # 3 - original values of the cross-section [m^2], not used
# line # 1 - number of cross-section values to read
# format 2x,i4
# from http://physics.nist.gov/cgi-bin/Ionization/atom.php?element=H
